job,years,education,salary,company,scale,job_url
K一个实现自我价值的行业,不限,不限,9000,杭州我爱我家房地产经纪有限公司上绍路分公司,10000人以上,http://jobs.zhaopin.com/CZ573273820J00048333107.htm
网络安全研发工程师,3-5年,大专,11500,上海焕兴网络科技有限公司,20-99人,http://jobs.zhaopin.com/CC320049589J00088402207.htm
一个实现自我价值的行业,不限,不限,9000,杭州我爱我家房地产经纪有限公司上绍路分公司,10000人以上,http://jobs.zhaopin.com/CZ573273820J00047637707.htm
PHP软件开发工程师（下沙+双休）,1-3年,本科,12500,杭州谷瀑信息技术有限公司,20-99人,http://jobs.zhaopin.com/434466513251349.htm
大数据开发工程师助理+ 双休,不限,大专,5000,杭州小蛋壳网络科技有限公司,20人以下,http://jobs.zhaopin.com/541343283250008.htm
php开发工程师,1-3年,本科,9000,杭州恒胜电子科技有限公司,20-99人,http://jobs.zhaopin.com/CC166277210J00050495002.htm
大数据分析师,不限,大专,5000,杭州小蛋壳网络科技有限公司,20人以下,http://jobs.zhaopin.com/541343283250029.htm
大数据开发工程师助理+ 双休,不限,大专,5000,杭州小蛋壳网络科技有限公司,20人以下,http://jobs.zhaopin.com/541343283250017.htm
大数据（开发、分析、算法）,不限,大专,5000,杭州小蛋壳网络科技有限公司,20人以下,http://jobs.zhaopin.com/541343283250035.htm
机械工程师转行运维工程师IT运维,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732277040.htm
转行 AIX运维助理 应届生,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732277608.htm
javaEE大数据软件工程师定岗实习生,不限,大专,11250,中青才智教育投资(北京)有限公司,1000-9999人,http://jobs.zhaopin.com/447375014270840.htm
机械工程师转行运维IT助理,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732273569.htm
杭州链家三墩片区诚招经纪人,不限,大专,12500,浙江链家房地产经纪有限公司杭州新世纪花苑店,10000人以上,http://jobs.zhaopin.com/CZ453501880J00086569905.htm
复审专员J10610,3-5年,本科,9000,微贷(杭州)金融信息服务有限公司,1000-9999人,http://jobs.zhaopin.com/481904630250128.htm
初审专员（易起投）J10518,1-3年,本科,7000,微贷(杭州)金融信息服务有限公司,1000-9999人,http://jobs.zhaopin.com/481904630250062.htm
审核专员J10519,1年以下,本科,7000,微贷(杭州)金融信息服务有限公司,1000-9999人,http://jobs.zhaopin.com/481904630250063.htm
审核专员（微易融）J10540,1-3年,本科,7000,微贷(杭州)金融信息服务有限公司,1000-9999人,http://jobs.zhaopin.com/481904630250054.htm
需求分析师,1-3年,大专,9000,杭州鲁尔物联科技有限公司,20-99人,http://jobs.zhaopin.com/661257829250053.htm
软件/互联网产品 转 IT高端运维,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732274094.htm
微信推广网络服务转岗IT运维,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732271740.htm
机械设计/制造/维修 转行  运维IT实习生岗,不限,不限,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732283399.htm
技术经理-杭州（恒生鲸腾）,5-10年,本科,23000,恒生电子股份有限公司,1000-9999人,http://jobs.zhaopin.com/000212281260788.htm
天猫运营店长,1-3年,大专,9000,杭州佰神网络科技有限公司,20-99人,http://jobs.zhaopin.com/459415438250025.htm
网络管理员网络工程师,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732271932.htm
网络管理员网络工程师运维实习,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732272272.htm
电子电气工程师转行it运维岗,不限,大专,9000,北京中关新才科技有限公司,100-499人,http://jobs.zhaopin.com/216380732274061.htm
