job,years,education,salary,company,scale,job_url
架构设计高级工程师（大数据）,5-10年,本科,40000,福建新大陆软件工程有限公司,1000-9999人,http://jobs.zhaopin.com/142331073251174.htm
大数据工程师,5-10年,本科,0,海尔集团公司,10000人以上,http://jobs.zhaopin.com/121066847315366.htm
大数据工程师,1-3年,本科,17500,中国航天系统科学与工程研究院,500-999人,http://jobs.zhaopin.com/254591333250239.htm
大数据工程师,不限,本科,15000,北京北大软件工程股份有限公司,100-499人,http://jobs.zhaopin.com/000362500250633.htm
大数据工程师,1-3年,本科,9000,北京亿赛通科技发展有限责任公司,100-499人,http://jobs.zhaopin.com/156227629252245.htm
大数据技术工程师,3-5年,本科,0,中银金融商务有限公司,1000-9999人,http://jobs.zhaopin.com/194779618250421.htm
大数据技术助理工程师,1-3年,本科,0,中银金融商务有限公司,1000-9999人,http://jobs.zhaopin.com/194779618250422.htm
大数据开发工程师 [北京],3-5年,本科,25000,深圳市源极光科技有限公司,20-99人,http://jobs.zhaopin.com/562114535250100.htm
高级大数据开发工程师,3-5年,本科,20000,北京世纪高通科技有限公司,100-499人,http://jobs.zhaopin.com/138826768251206.htm
大数据研发工程师,5-10年,本科,30000,北京明特量化信息技术有限公司,500-999人,http://jobs.zhaopin.com/325098280250196.htm
大数据研发工程师,1-3年,本科,30000,北京世纪好未来教育科技有限公司,10000人以上,http://jobs.zhaopin.com/602273321267396.htm
job,years,education,salary,company,scale,job_url
架构设计高级工程师（大数据）,5-10年,本科,40000,福建新大陆软件工程有限公司,1000-9999人,http://jobs.zhaopin.com/142331073251174.htm
大数据工程师,5-10年,本科,0,海尔集团公司,10000人以上,http://jobs.zhaopin.com/121066847315366.htm
大数据工程师,不限,本科,15000,北京北大软件工程股份有限公司,100-499人,http://jobs.zhaopin.com/000362500250633.htm
大数据工程师,1-3年,本科,17500,中国航天系统科学与工程研究院,500-999人,http://jobs.zhaopin.com/254591333250239.htm
大数据工程师,1-3年,本科,9000,北京亿赛通科技发展有限责任公司,100-499人,http://jobs.zhaopin.com/156227629252245.htm
大数据技术工程师,3-5年,本科,0,中银金融商务有限公司,1000-9999人,http://jobs.zhaopin.com/194779618250421.htm
大数据技术助理工程师,1-3年,本科,0,中银金融商务有限公司,1000-9999人,http://jobs.zhaopin.com/194779618250422.htm
大数据开发工程师 [北京],3-5年,本科,25000,深圳市源极光科技有限公司,20-99人,http://jobs.zhaopin.com/562114535250100.htm
高级大数据开发工程师,3-5年,本科,20000,北京世纪高通科技有限公司,100-499人,http://jobs.zhaopin.com/138826768251206.htm
大数据研发工程师,5-10年,本科,30000,北京明特量化信息技术有限公司,500-999人,http://jobs.zhaopin.com/325098280250196.htm
大数据研发工程师,1-3年,本科,30000,北京世纪好未来教育科技有限公司,10000人以上,http://jobs.zhaopin.com/602273321267396.htm
